seed,min_h,min_h_slot,final_h,liquidations,force_closes,users_liquidated,users_with_positions,insurance_end,c_tot_end,pnl_pos_tot_end,h_zero_slots,h_zero_first_slot,h_below_50_slots,h_below_10_slots,min_true_h,min_residual,withdraw_attempts,withdraw_successes,close_attempts,close_successes
117,0.208695,595,0.206439,3691,59,1552,2001,335144022470,94079584661855,170796953048909,0,never,485,0,0.208695,4043475442634,23,19,37,15
118,0.192485,595,0.190466,3851,59,1539,2001,325218411745,92867413929443,165523578905282,0,never,480,0,0.192485,4077493706433,26,21,34,19
119,0.208211,590,0.205958,3982,51,1569,2001,309179267810,94121878261560,172463355901864,0,never,485,0,0.208211,4058809198837,21,18,39,19
120,0.209963,590,0.207864,3652,49,1555,2001,297080595055,92565633225931,165968532033886,0,never,480,0,0.209963,3970243653541,21,15,39,14
121,0.214013,590,0.211698,3967,62,1529,2001,268019564070,92002847437239,163166805070471,0,never,490,0,0.214013,3970420680913,23,15,37,17
122,0.194892,595,0.192765,3762,63,1523,2001,287759972769,89607985089048,162013254016225,0,never,480,0,0.194892,3950641781709,27,22,33,16
123,0.200401,595,0.198303,3641,58,1564,2001,312572144149,98903659048470,174907865029249,0,never,485,0,0.200401,4104974974422,22,15,38,11
124,0.208462,595,0.206187,4138,60,1554,2001,386201123112,97976709027049,173725442842057,0,never,480,0,0.208462,4173424005552,21,15,39,12
125,0.211759,590,0.209540,3939,49,1526,2001,327474868159,92880094703844,162627777499911,0,never,480,0,0.211759,3980384446324,24,15,36,11
126,0.205276,595,0.203123,4098,53,1545,2001,338307315657,97802258799335,167830411888558,0,never,480,0,0.205276,4062269338205,23,16,37,14
127,0.193691,595,0.191577,3831,51,1521,2001,318781010029,89804724955114,166859313224082,0,never,480,0,0.193691,4008055871750,24,16,36,19
128,0.196853,590,0.194737,3760,55,1543,2001,287094599579,89449247941743,159293099791679,0,never,485,0,0.196853,3983366300847,26,17,34,14
129,0.216071,590,0.213770,4068,42,1534,2001,329674293293,97653170429649,169252346376289,0,never,485,0,0.216071,3995720523412,27,19,33,10
130,0.208383,590,0.206116,3922,54,1529,2001,292119164853,92955946270792,171513328898811,0,never,490,0,0.208383,4063310196597,28,24,32,13
131,0.225164,595,0.222765,3937,54,1549,2001,456141406810,111382895988252,189178641742134,0,never,485,0,0.225164,4278177470248,23,18,37,18
